id,ortho,cgram,genre,nombre,freqfilms,verper,cvcv,iddersyll,nbsyll,haspir
6026,angoissais,VER,,,0.06,1s,V,3861,3,-1
6027,angoissait,VER,,,0.07,3s,V,3861,3,-1
6028,angoissant,ADJ,m,s,0.8,,V,3848,3,-1
6029,angoissant,VER,,,0.24,,V,3848,3,-1
6030,angoissante,ADJ,f,s,1.05,,V,3859,3,-1
6031,angoissantes,ADJ,f,p,0.01,,V,3859,3,-1
6032,angoissants,ADJ,m,p,0.01,,V,3848,3,-1
6033,angoisse,NOM,f,s,14.98,,V,2086,2,-1
6034,angoisse,VER,,,2.57,2s-1s-3s,V,2086,2,-1
6035,angoissent,VER,,,0.25,3p,V,2086,2,-1
6036,angoisser,VER,,,0.98,,V,3949,3,-1
6037,angoisserait,VER,,,0.01,3s,V,185,4,-1
6038,angoisses,NOM,f,p,2.84,,V,2086,2,-1
6039,angoisses,VER,,,0.36,2s,V,2086,2,-1
6040,angoissez,VER,,,0.02,2p,V,3949,3,-1
6041,angoissiez,VER,,,0.01,2p,V,4031,3,-1
6042,angoissé,VER,m,s,0.55,,V,3949,3,-1
6043,angoissé,ADJ,m,s,0.28,,V,3949,3,-1
6044,angoissé,NOM,m,s,0.07,,V,3949,3,-1
6045,angoissée,VER,f,s,0.7,,V,3949,3,-1
6046,angoissée,ADJ,f,s,0.88,,V,3949,3,-1
6047,angoissée,NOM,f,s,0.07,,V,3949,3,-1
6048,angoissées,VER,f,p,0.01,,V,3949,3,-1
6049,angoissées,ADJ,f,p,0.0,,V,3949,3,-1
6050,angoissées,NOM,f,p,0.01,,V,3949,3,-1
6051,angoissés,VER,m,p,0.01,,V,3949,3,-1
6052,angoissés,ADJ,m,p,0.01,,V,3949,3,-1
6053,angoissés,NOM,m,p,0.01,,V,3949,3,-1
6054,angolais,ADJ,m,p,0.2,,V,2696,3,-1
6055,angolais,NOM,m,,0.1,,V,2696,3,-1
6056,angon,NOM,m,s,0.0,,V,2102,2,-1
6057,angor,NOM,m,s,0.01,,V,1866,2,-1
6058,angora,ADJ,m,s,0.04,,V,229,3,-1
6059,angora,NOM,m,s,0.29,,V,229,3,-1
6060,angoras,ADJ,m,p,0.0,,V,229,3,-1
6061,angoras,NOM,m,p,0.0,,V,229,3,-1
6062,angström,NOM,m,s,0.01,,V,548,2,-1
6063,anguille,NOM,f,s,1.74,,V,1988,2,-1
6064,anguilles,NOM,f,p,2.58,,V,1988,2,-1
6065,anguillules,NOM,f,p,0.0,,V,2205,3,-1
6066,anguis,NOM,m,,0.0,,V,1981,2,-1
6067,angulaire,ADJ,,s,0.32,,V,2697,3,-1
6068,angulaires,ADJ,,p,0.05,,V,2697,3,-1
6069,anguleuse,ADJ,f,s,0.45,,V,2656,3,-1
6070,anguleuses,ADJ,f,p,0.01,,V,2656,3,-1
6071,anguleux,ADJ,m,,0.17,,V,2655,3,-1
6072,angulosité,NOM,f,s,0.0,,V,4605,5,-1
6073,angustura,NOM,f,s,0.0,,V,229,4,-1
6074,angéite,NOM,f,s,0.01,,V,2126,3,-1
6075,angélique,ADJ,,s,0.41,,V,2809,3,-1
6076,angélique,NOM,f,s,0.04,,V,2809,3,-1
6077,angéliquement,ADV,,,0.0,,V,2964,5,-1
6078,angéliques,ADJ,,p,0.17,,V,2809,3,-1
6079,angéliques,NOM,f,p,0.02,,V,2809,3,-1
6080,angélisme,NOM,m,s,0.0,,V,2824,3,-1
6081,angélus,NOM,m,,0.8,,V,2922,3,-1
6082,anhydre,ADJ,f,s,0.04,,V,3298,2,-1
6083,anhydride,NOM,m,s,0.04,,V,1286,3,-1
6084,anhèle,VER,,,0.0,3s,V,3223,2,-1
6085,anhélations,NOM,f,p,0.0,,V,4038,4,-1
6086,anicroche,NOM,f,s,0.06,,V,2319,3,-1
6087,anicroches,NOM,f,p,0.06,,V,2319,3,-1
6088,aniline,NOM,f,s,0.01,,V,2812,3,-1
6089,anima,VER,,,0.29,3s,V,3024,3,-1
6090,animai,VER,,,0.34,1s,V,2974,3,-1
6091,animaient,VER,,,0.12,3p,V,2974,3,-1
6092,animais,VER,,,0.03,1s,V,2974,3,-1
